title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
across the sea of time (1995),2.75,4,Star Trek: Generations (1994),Beauty and the Beast (1991),Benny & Joon (1993),GoldenEye (1995)
addams family values (1993),2.8160919540229883,87,Father of the Bride Part II (1995),Jungle2Jungle (1997),"Fifth Element, The (1997)",Gattaca (1997)
addicted to love (1997),3.1666666666666665,54,Little Women (1994),Patton (1970),Stargate (1994),12 Angry Men (1957)
"addiction, the (1995)",2.1818181818181817,11,That Thing You Do! (1996),Seven Years in Tibet (1997),"Sex, Lies, and Videotape (1989)",Ben-Hur (1959)
"adventures of pinocchio, the (1996)",3.051282051282051,39,Bonnie and Clyde (1967),In the Name of the Father (1993),What's Eating Gilbert Grape (1993),"Edge, The (1997)"
"adventures of priscilla, queen of the desert, the (1994)",3.5945945945945947,111,"Devil's Advocate, The (1997)","Sex, Lies, and Videotape (1989)",Donnie Brasco (1997),Alien: Resurrection (1997)
"adventures of robin hood, the (1938)",3.791044776119403,67,Mimic (1997),Gattaca (1997),"Peacemaker, The (1997)",Everyone Says I Love You (1996)
"affair to remember, an (1957)",4.1923076923076925,26,Fly Away Home (1996),G.I. Jane (1997),Star Trek: The Motion Picture (1979),Dante's Peak (1997)
"african queen, the (1951)",4.184210526315789,152,Absolute Power (1997),"Wizard of Oz, The (1939)","Nutty Professor, The (1996)",Miracle on 34th Street (1994)
afterglow (1997),3.111111111111111,18,True Lies (1994),This Is Spinal Tap (1984),Reservoir Dogs (1992),"Maltese Falcon, The (1941)"
"age of innocence, the (1993)",3.3846153846153846,65,Little Women (1994),Ulee's Gold (1997),"Remains of the Day, The (1993)",101 Dalmatians (1996)
aiqing wansui (1994),5.0,1,-,-,-,-
air bud (1997),2.558139534883721,43,"Craft, The (1996)",Miracle on 34th Street (1994),Arsenic and Old Lace (1944),Waterworld (1995)
air force one (1997),3.6310904872389793,431,"Hunt for Red October, The (1990)","Firm, The (1993)",Murder at 1600 (1997),Eraser (1996)
"air up there, the (1994)",2.8125,16,Fly Away Home (1996),"Deer Hunter, The (1978)",G.I. Jane (1997),On Golden Pond (1981)
airheads (1994),2.34375,32,Ulee's Gold (1997),"Magnificent Seven, The (1954)","Last of the Mohicans, The (1992)",Alien: Resurrection (1997)
akira (1988),3.38,50,Amistad (1997),"Ice Storm, The (1997)",Kolya (1996),Seven Years in Tibet (1997)
aladdin (1992),3.8127853881278537,219,"Lion King, The (1994)",Cinderella (1950),Grumpier Old Men (1995),Mrs. Doubtfire (1993)
aladdin and the king of thieves (1996),2.8461538461538463,26,Kiss the Girls (1997),Big Night (1996),Strictly Ballroom (1992),Evita (1996)
alaska (1996),2.6923076923076925,13,Lost Highway (1997),Platoon (1986),"Adventures of Priscilla, Queen of the Desert, The (1994)",Event Horizon (1997)
albino alligator (1996),2.5,6,"Cable Guy, The (1996)",GoldenEye (1995),Get Shorty (1995),"Full Monty, The (1997)"
alice in wonderland (1951),3.6666666666666665,81,G.I. Jane (1997),"Hunchback of Notre Dame, The (1996)",Welcome to the Dollhouse (1995),"Devil's Advocate, The (1997)"
alien (1979),4.034364261168385,291,Ulee's Gold (1997),Swingers (1996),"Magnificent Seven, The (1954)",Alien: Resurrection (1997)
alien 3 (1992),2.83,100,Ulee's Gold (1997),William Shakespeare's Romeo and Juliet (1996),Alien: Resurrection (1997),"Peacemaker, The (1997)"
alien: resurrection (1997),3.096774193548387,124,Miracle on 34th Street (1994),Outbreak (1995),Kolya (1996),Batman (1989)
aliens (1986),3.9471830985915495,284,Alien (1979),William Shakespeare's Romeo and Juliet (1996),"Mask, The (1994)",Good Will Hunting (1997)
all about eve (1950),4.045454545454546,66,Kiss the Girls (1997),Seven Years in Tibet (1997),Fly Away Home (1996),Executive Decision (1996)
all dogs go to heaven 2 (1996),1.8666666666666667,15,Scream 2 (1997),"Peacemaker, The (1997)","Edge, The (1997)",Air Force One (1997)
all over me (1997),3.0,3,-,-,-,-
all things fair (1996),3.0,1,-,-,-,-
alphaville (1965),3.3333333333333335,12,Star Trek: The Wrath of Khan (1982),"Adventures of Priscilla, Queen of the Desert, The (1994)",Starship Troopers (1997),Benny & Joon (1993)
amadeus (1984),4.163043478260869,276,Henry V (1989),Miracle on 34th Street (1994),"Boot, Das (1981)",William Shakespeare's Romeo and Juliet (1996)
amateur (1994),3.1666666666666665,18,Amistad (1997),101 Dalmatians (1996),"Edge, The (1997)",Michael (1996)
"amazing panda adventure, the (1995)",2.8,10,"Ghost and the Darkness, The (1996)",Conspiracy Theory (1997),Henry V (1989),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
american buffalo (1996),2.6363636363636362,11,Like Water For Chocolate (Como agua para chocolate) (1992),It's a Wonderful Life (1946),"Ice Storm, The (1997)",G.I. Jane (1997)
american dream (1990),2.5,2,Full Metal Jacket (1987),Quiz Show (1994),"Professional, The (1994)",Pretty Woman (1990)
"american president, the (1995)",3.6280487804878048,164,G.I. Jane (1997),Dave (1993),Michael (1996),"Firm, The (1993)"
american strays (1996),2.0,2,"English Patient, The (1996)","Postino, Il (1994)","Long Kiss Goodnight, The (1996)",Kingpin (1996)
"american werewolf in london, an (1981)",3.5353535353535355,99,Kolya (1996),True Romance (1993),"Adventures of Priscilla, Queen of the Desert, The (1994)",Ulee's Gold (1997)
"american in paris, an (1951)",3.7,50,Con Air (1997),Shine (1996),Spawn (1997),Heat (1995)
amistad (1997),3.8548387096774195,124,"Frighteners, The (1996)",In the Name of the Father (1993),Fried Green Tomatoes (1991),Ghost (1990)
amityville 1992: it's about time (1992),1.0,5,-,-,-,-
amityville 3-d (1983),1.1666666666666667,6,"Time to Kill, A (1996)",My Fair Lady (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Amadeus (1984)
"amityville curse, the (1990)",1.25,4,"Nightmare Before Christmas, The (1993)",Army of Darkness (1993),My Fair Lady (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"amityville horror, the (1979)",2.5660377358490565,53,In & Out (1997),My Best Friend's Wedding (1997),Emma (1996),"Last of the Mohicans, The (1992)"
amityville ii: the possession (1982),1.6428571428571428,14,Little Women (1994),"Devil's Own, The (1997)",Father of the Bride Part II (1995),"First Wives Club, The (1996)"
amityville: a new generation (1993),1.0,5,-,-,-,-
amityville: dollhouse (1996),1.0,3,-,-,-,-
amos & andrew (1993),2.6842105263157894,19,My Best Friend's Wedding (1997),Alien: Resurrection (1997),Event Horizon (1997),Shine (1996)
an unforgettable summer (1994),2.5,4,Happy Gilmore (1996),Kolya (1996),James and the Giant Peach (1996),Trainspotting (1996)
anaconda (1997),2.289473684210526,38,Bonnie and Clyde (1967),Down Periscope (1996),Father of the Bride Part II (1995),Beavis and Butt-head Do America (1996)
anastasia (1997),3.4242424242424243,66,Arsenic and Old Lace (1944),Cinderella (1950),Pink Floyd - The Wall (1982),"Abyss, The (1989)"
andre (1994),3.111111111111111,18,Event Horizon (1997),Boogie Nights (1997),Kolya (1996),"Edge, The (1997)"
angel baby (1995),3.75,4,George of the Jungle (1997),Jackie Brown (1997),Austin Powers: International Man of Mystery (1997),Ulee's Gold (1997)
angel and the badman (1947),3.0,6,Ed Wood (1994),Miracle on 34th Street (1994),Sense and Sensibility (1995),Pinocchio (1940)
angel on my shoulder (1946),2.0,1,-,-,-,-
angela (1995),3.0,1,-,-,-,-
angels and insects (1995),3.4166666666666665,72,True Romance (1993),Dumbo (1941),James and the Giant Peach (1996),Apt Pupil (1998)
angels in the outfield (1994),2.923076923076923,39,Spawn (1997),"Wrong Trousers, The (1993)",Cold Comfort Farm (1995),Cinema Paradiso (1988)
angus (1995),2.642857142857143,14,"Rainmaker, The (1997)",Being There (1979),"Craft, The (1996)",Lawrence of Arabia (1962)
anna (1996),4.5,2,Cold Comfort Farm (1995),Aladdin (1992),Gandhi (1982),"Godfather: Part II, The (1974)"
anna karenina (1997),3.090909090909091,33,Pinocchio (1940),Harold and Maude (1971),Michael (1996),Batman Returns (1992)
anne frank remembered (1995),3.857142857142857,21,"African Queen, The (1951)","Remains of the Day, The (1993)",Cinema Paradiso (1988),"Peacemaker, The (1997)"
annie hall (1977),3.911111111111111,180,"Sex, Lies, and Videotape (1989)",Everyone Says I Love You (1996),Star Trek III: The Search for Spock (1984),"Room with a View, A (1986)"
another stakeout (1993),2.5,28,Mother (1996),Father of the Bride Part II (1995),Maverick (1994),"Hunchback of Notre Dame, The (1996)"
antonia's line (1995),3.9565217391304346,69,Lost Highway (1997),Kiss the Girls (1997),Executive Decision (1996),G.I. Jane (1997)
aparajito (1956),3.5714285714285716,7,Star Trek: The Wrath of Khan (1982),"Good, The Bad and The Ugly, The (1966)",Clear and Present Danger (1994),Lawrence of Arabia (1962)
"apartment, the (1960)",3.9365079365079363,63,"Long Kiss Goodnight, The (1996)","Peacemaker, The (1997)",Rumble in the Bronx (1995),Young Guns (1988)
apocalypse now (1979),4.04524886877828,221,"Deer Hunter, The (1978)",GoodFellas (1990),On Golden Pond (1981),Being There (1979)
apollo 13 (1995),3.931159420289855,276,Michael (1996),"Peacemaker, The (1997)",G.I. Jane (1997),Wag the Dog (1997)
"apostle, the (1997)",3.6545454545454548,55,Father of the Bride Part II (1995),"Nightmare Before Christmas, The (1993)","Adventures of Priscilla, Queen of the Desert, The (1994)","Remains of the Day, The (1993)"
"apple dumpling gang, the (1975)",2.84,25,Kolya (1996),"Ghost and the Darkness, The (1996)",Event Horizon (1997),Everyone Says I Love You (1996)
april fool's day (1986),2.6666666666666665,15,Rumble in the Bronx (1995),"Hudsucker Proxy, The (1994)",My Fair Lady (1964),Courage Under Fire (1996)
apt pupil (1998),4.1,160,As Good As It Gets (1997),"Mask, The (1994)",Dave (1993),Clear and Present Danger (1994)
"aristocats, the (1970)",3.1296296296296298,54,"Edge, The (1997)","Rainmaker, The (1997)",Grumpier Old Men (1995),Jackie Brown (1997)
army of darkness (1993),3.4310344827586206,116,Ulee's Gold (1997),"Full Monty, The (1997)","Wrong Trousers, The (1993)",Austin Powers: International Man of Mystery (1997)
around the world in 80 days (1956),3.6610169491525424,59,Kolya (1996),Rosewood (1997),Cop Land (1997),Mimic (1997)
"arrival, the (1996)",3.036144578313253,83,Fried Green Tomatoes (1991),Tombstone (1993),Spawn (1997),Real Genius (1985)
arsenic and old lace (1944),4.078260869565217,115,In & Out (1997),Grosse Pointe Blank (1997),Down Periscope (1996),"Hunchback of Notre Dame, The (1996)"
as good as it gets (1997),4.196428571428571,112,Apt Pupil (1998),"Mask, The (1994)",Batman Forever (1995),Glory (1989)
assassins (1995),2.871794871794872,39,Father of the Bride Part II (1995),Starship Troopers (1997),"Ghost and the Darkness, The (1996)","Deer Hunter, The (1978)"
"assignment, the (1997)",3.5,18,"Manchurian Candidate, The (1962)",Jackie Chan's First Strike (1996),"African Queen, The (1951)",Cool Hand Luke (1967)
"associate, the (1996)",3.2439024390243905,41,Nikita (La Femme Nikita) (1990),Raging Bull (1980),Patton (1970),Die Hard 2 (1990)
audrey rose (1977),2.1666666666666665,12,Father of the Bride Part II (1995),Tin Cup (1996),Dante's Peak (1997),Crash (1996)
august (1996),1.0,1,-,-,-,-
austin powers: international man of mystery (1997),3.246153846153846,130,Gone with the Wind (1939),Happy Gilmore (1996),Mary Poppins (1964),Primal Fear (1996)
"awfully big adventure, an (1995)",2.375,8,Courage Under Fire (1996),"Deer Hunter, The (1978)",Lone Star (1996),"Close Shave, A (1995)"
ayn rand: a sense of life (1997),3.142857142857143,7,Evita (1996),Alien: Resurrection (1997),Scream 2 (1997),Crash (1996)
b*a*p*s (1997),1.6666666666666667,3,Eraser (1996),"Boot, Das (1981)",Multiplicity (1996),Star Trek: First Contact (1996)
b. monkey (1998),3.0,1,-,-,-,-
babe (1995),3.9954337899543377,219,"Peacemaker, The (1997)",Batman Returns (1992),"Lost World: Jurassic Park, The (1997)",Cinderella (1950)
"baby-sitters club, the (1995)",2.5,10,"Ice Storm, The (1997)",Secrets & Lies (1996),Tomorrow Never Dies (1997),"Room with a View, A (1986)"
babyfever (1994),1.0,2,-,-,-,-
"babysitter, the (1995)",2.3333333333333335,3,"Mask, The (1994)",Eraser (1996),"Craft, The (1996)",Twister (1996)
back to the future (1985),3.834285714285714,350,Speed (1994),Pretty Woman (1990),Michael (1996),"Frighteners, The (1996)"
backbeat (1993),3.473684210526316,19,Down Periscope (1996),Benny & Joon (1993),Arsenic and Old Lace (1944),Dante's Peak (1997)
bad boys (1995),3.1052631578947367,57,Fly Away Home (1996),Jungle2Jungle (1997),Everyone Says I Love You (1996),"Peacemaker, The (1997)"
bad company (1995),2.2222222222222223,9,M*A*S*H (1970),"Sex, Lies, and Videotape (1989)","Manchurian Candidate, The (1962)",Reservoir Dogs (1992)
bad girls (1994),1.8333333333333333,6,Ulee's Gold (1997),Big Night (1996),"Remains of the Day, The (1993)",Some Like It Hot (1959)
bad moon (1996),2.6666666666666665,6,Highlander (1986),One Flew Over the Cuckoo's Nest (1975),Patton (1970),M*A*S*H (1970)
bad taste (1987),3.375,16,My Fair Lady (1964),"Remains of the Day, The (1993)","Room with a View, A (1986)","Killing Fields, The (1984)"
"ballad of narayama, the (narayama bushiko) (1958)",2.75,4,"Close Shave, A (1995)",Ulee's Gold (1997),Sense and Sensibility (1995),Secrets & Lies (1996)
balto (1995),3.0,16,Cinema Paradiso (1988),"Sex, Lies, and Videotape (1989)",Mighty Aphrodite (1995),Con Air (1997)
bananas (1971),3.7017543859649122,57,"Craft, The (1996)",Wag the Dog (1997),"Lost World: Jurassic Park, The (1997)",One Fine Day (1996)
"band wagon, the (1953)",3.6666666666666665,9,Maverick (1994),"Remains of the Day, The (1993)",Conspiracy Theory (1997),Pinocchio (1940)
barb wire (1996),1.9333333333333333,30,"Ice Storm, The (1997)",Amistad (1997),G.I. Jane (1997),Michael (1996)
barbarella (1968),2.5714285714285716,28,"Close Shave, A (1995)","Rainmaker, The (1997)",Big Night (1996),Fly Away Home (1996)
barcelona (1994),3.018867924528302,53,Outbreak (1995),Tombstone (1993),One Fine Day (1996),True Romance (1993)
basic instinct (1992),3.227722772277228,101,"Ice Storm, The (1997)","Boot, Das (1981)",Spawn (1997),Under Siege (1992)
"basketball diaries, the (1995)",3.425,40,"Peacemaker, The (1997)",G.I. Jane (1997),My Fair Lady (1964),Murder at 1600 (1997)
basquiat (1996),3.25,44,Mother (1996),Beautiful Girls (1996),"Peacemaker, The (1997)",Lost Highway (1997)
bastard out of carolina (1996),2.875,16,One Fine Day (1996),Maverick (1994),"Ghost and the Darkness, The (1996)",Absolute Power (1997)
batman & robin (1997),2.4516129032258065,62,Batman Forever (1995),"Philadelphia Story, The (1940)",Good Will Hunting (1997),GoldenEye (1995)
batman (1989),3.427860696517413,201,Alien: Resurrection (1997),Scream 2 (1997),Good Will Hunting (1997),Cold Comfort Farm (1995)
batman forever (1995),2.6666666666666665,114,Down Periscope (1996),Jungle2Jungle (1997),As Good As It Gets (1997),"Net, The (1995)"
batman returns (1992),2.683098591549296,142,Michael (1996),Fly Away Home (1996),"Peacemaker, The (1997)",Batman (1989)
baton rouge (1988),1.0,1,-,-,-,-
bean (1997),2.659340659340659,91,On Golden Pond (1981),Strictly Ballroom (1992),"Killing Fields, The (1984)","Craft, The (1996)"
"beans of egypt, maine, the (1994)",3.5,2,Quiz Show (1994),Alien: Resurrection (1997),It's a Wonderful Life (1946),Lawrence of Arabia (1962)
beat the devil (1954),3.7142857142857144,7,Braveheart (1995),Sneakers (1992),Primal Fear (1996),Interview with the Vampire (1994)
"beautician and the beast, the (1997)",2.313953488372093,86,Under Siege (1992),"Mask, The (1994)",In the Name of the Father (1993),GoldenEye (1995)
beautiful girls (1996),3.391304347826087,115,Lawrence of Arabia (1962),Full Metal Jacket (1987),"Maltese Falcon, The (1941)",Die Hard: With a Vengeance (1995)
beautiful thing (1996),3.9655172413793105,29,Basic Instinct (1992),"Magnificent Seven, The (1954)",Dragonheart (1996),Rosewood (1997)
beauty and the beast (1991),3.792079207920792,202,Amistad (1997),Kiss the Girls (1997),"Hunchback of Notre Dame, The (1996)","Lion King, The (1994)"
beavis and butt-head do america (1996),2.7884615384615383,156,"Ice Storm, The (1997)",James and the Giant Peach (1996),"Devil's Advocate, The (1997)",GoodFellas (1990)
bed of roses (1996),3.2333333333333334,60,Some Like It Hot (1959),Jungle2Jungle (1997),"Ice Storm, The (1997)",Gone with the Wind (1939)
bedknobs and broomsticks (1971),3.0701754385964914,57,Con Air (1997),Good Will Hunting (1997),Tombstone (1993),Jackie Brown (1997)
before sunrise (1995),3.4081632653061225,49,"Frighteners, The (1996)",Donnie Brasco (1997),Mr. Smith Goes to Washington (1939),12 Angry Men (1957)
before and after (1996),2.8461538461538463,26,"Edge, The (1997)",Harold and Maude (1971),Star Trek: The Motion Picture (1979),Jackie Brown (1997)
before the rain (pred dozhdot) (1994),3.8,10,Starship Troopers (1997),Bound (1996),Beauty and the Beast (1991),Bram Stoker's Dracula (1992)
being human (1993),1.75,4,GoldenEye (1995),Die Hard: With a Vengeance (1995),Crimson Tide (1995),Tombstone (1993)
being there (1979),3.9051724137931036,116,Ulee's Gold (1997),Pinocchio (1940),Dumbo (1941),Welcome to the Dollhouse (1995)
"believers, the (1987)",2.25,16,What's Eating Gilbert Grape (1993),"Ghost and the Darkness, The (1996)","Devil's Advocate, The (1997)",Emma (1996)
belle de jour (1967),3.945945945945946,37,Benny & Joon (1993),Ulee's Gold (1997),"Magnificent Seven, The (1954)",Stargate (1994)
ben-hur (1959),3.8306451612903225,124,Cop Land (1997),"Wrong Trousers, The (1993)","Manchurian Candidate, The (1962)","Great Escape, The (1963)"
benny & joon (1993),3.4607843137254903,102,Fly Away Home (1996),"Rainmaker, The (1997)","Last of the Mohicans, The (1992)",Good Will Hunting (1997)
bent (1997),2.6666666666666665,6,Boogie Nights (1997),"Devil's Own, The (1997)",Evita (1996),Shine (1996)
best men (1997),3.4,5,Tombstone (1993),James and the Giant Peach (1996),"Full Monty, The (1997)","Nightmare Before Christmas, The (1993)"
best of the best 3: no turning back (1995),1.5,6,Happy Gilmore (1996),Swingers (1996),Spawn (1997),Heat (1995)
better off dead... (1985),3.569620253164557,79,"Ice Storm, The (1997)","Rainmaker, The (1997)","Edge, The (1997)",G.I. Jane (1997)
"beverly hillbillies, the (1993)",2.25,20,Wag the Dog (1997),"Deer Hunter, The (1978)",Alien: Resurrection (1997),Chasing Amy (1997)
beverly hills cop iii (1994),2.392857142857143,28,Mother (1996),Jungle2Jungle (1997),"Net, The (1995)",Gone with the Wind (1939)
beverly hills ninja (1997),2.3125,48,Young Guns (1988),Kolya (1996),G.I. Jane (1997),Seven Years in Tibet (1997)
"bewegte mann, der (1994)",3.6666666666666665,3,In & Out (1997),Aladdin (1992),Indiana Jones and the Last Crusade (1989),"Sound of Music, The (1965)"
beyond bedlam (1993),1.0,2,-,-,-,-
beyond rangoon (1995),3.0555555555555554,18,"Hunchback of Notre Dame, The (1996)",Jackie Brown (1997),Waterworld (1995),Ulee's Gold (1997)
bhaji on the beach (1993),2.875,8,It's a Wonderful Life (1946),Jackie Chan's First Strike (1996),Top Gun (1986),"Killing Fields, The (1984)"
"big bang theory, the (1994)",4.0,1,-,-,-,-
"big blue, the (grand bleu, le) (1988)",3.235294117647059,17,What's Eating Gilbert Grape (1993),Kiss the Girls (1997),"Game, The (1997)",Grosse Pointe Blank (1997)
big bully (1996),1.8571428571428572,14,Cape Fear (1991),Stargate (1994),"Game, The (1997)",GoodFellas (1990)
"big green, the (1995)",2.5,14,Executive Decision (1996),Apt Pupil (1998),Bonnie and Clyde (1967),Chinatown (1974)
"big lebowski, the (1998)",3.8333333333333335,42,Tin Cup (1996),True Romance (1993),"Abyss, The (1989)",Clerks (1994)
big night (1996),3.9005847953216373,171,Conan the Barbarian (1981),Lost Highway (1997),"Ice Storm, The (1997)",Wag the Dog (1997)
"big one, the (1997)",3.0,1,-,-,-,-
"big sleep, the (1946)",4.027397260273973,73,Seven Years in Tibet (1997),"Wrong Trousers, The (1993)",Tin Cup (1996),Amistad (1997)
"big squeeze, the (1996)",2.25,4,Swingers (1996),Phenomenon (1996),Michael (1996),Rumble in the Bronx (1995)
billy madison (1995),3.081081081081081,37,Secrets & Lies (1996),"Killing Fields, The (1984)",Alien: Resurrection (1997),Bonnie and Clyde (1967)
bio-dome (1996),1.903225806451613,31,"Great Escape, The (1963)",Alien: Resurrection (1997),"Edge, The (1997)","Ice Storm, The (1997)"
bird of prey (1996),1.0,1,-,-,-,-
"birdcage, the (1996)",3.4436860068259385,293,Philadelphia (1993),"Sex, Lies, and Videotape (1989)",My Fair Lady (1964),Army of Darkness (1993)
"birds, the (1963)",3.808641975308642,162,G.I. Jane (1997),Swingers (1996),"Cable Guy, The (1996)",Mimic (1997)
bitter moon (1992),3.3,10,"Great Escape, The (1963)",Under Siege (1992),Benny & Joon (1993),Star Trek: The Motion Picture (1979)
bitter sugar (azucar amargo) (1996),4.333333333333333,3,Toy Story (1995),"Birdcage, The (1996)",Strictly Ballroom (1992),Fried Green Tomatoes (1991)
black beauty (1994),3.4444444444444446,27,"Rainmaker, The (1997)",Cold Comfort Farm (1995),Rosewood (1997),Boogie Nights (1997)
black sheep (1996),2.6363636363636362,55,Cool Hand Luke (1967),Air Force One (1997),Gattaca (1997),Being There (1979)
blade runner (1982),4.138181818181818,275,"Devil's Advocate, The (1997)",Ulee's Gold (1997),William Shakespeare's Romeo and Juliet (1996),"Wrong Trousers, The (1993)"
blink (1994),3.0,19,"Hunchback of Notre Dame, The (1996)",Dante's Peak (1997),Arsenic and Old Lace (1944),Down Periscope (1996)
bliss (1997),2.5714285714285716,7,Michael (1996),Star Trek: The Motion Picture (1979),Dead Poets Society (1989),Dante's Peak (1997)
"blob, the (1958)",2.717391304347826,46,Big Night (1996),Swingers (1996),Sling Blade (1996),Leaving Las Vegas (1995)
blood & wine (1997),2.8636363636363638,22,Interview with the Vampire (1994),"Bridge on the River Kwai, The (1957)","Net, The (1995)",Harold and Maude (1971)
blood beach (1981),2.1666666666666665,6,Babe (1995),"Killing Fields, The (1984)",Miracle on 34th Street (1994),Outbreak (1995)
blood for dracula (andy warhol's dracula) (1974),2.4,5,"Birds, The (1963)",Bonnie and Clyde (1967),Bram Stoker's Dracula (1992),Psycho (1960)
bloodsport 2 (1995),1.7,10,"Ghost and the Darkness, The (1996)","Lost World: Jurassic Park, The (1997)",Jungle2Jungle (1997),Platoon (1986)
"bloody child, the (1996)",1.0,1,-,-,-,-
blown away (1994),2.7586206896551726,29,"Peacemaker, The (1997)","Full Monty, The (1997)",Kolya (1996),Maverick (1994)
"blue angel, the (blaue engel, der) (1930)",3.7777777777777777,18,Phenomenon (1996),Natural Born Killers (1994),"People vs. Larry Flynt, The (1996)",Emma (1996)
blue chips (1994),2.6666666666666665,9,Cop Land (1997),Gandhi (1982),"Boot, Das (1981)",Kiss the Girls (1997)
blue sky (1994),3.4166666666666665,12,"Maltese Falcon, The (1941)",Father of the Bride Part II (1995),Apt Pupil (1998),Seven Years in Tibet (1997)
blue in the face (1995),3.1777777777777776,45,"Good, The Bad and The Ugly, The (1966)","Peacemaker, The (1997)",Kiss the Girls (1997),G.I. Jane (1997)
blues brothers 2000 (1998),2.8214285714285716,28,Raging Bull (1980),Being There (1979),Bonnie and Clyde (1967),Strictly Ballroom (1992)
"blues brothers, the (1980)",3.8366533864541834,251,"Game, The (1997)",As Good As It Gets (1997),"Edge, The (1997)",Philadelphia (1993)
bob roberts (1992),3.7411764705882353,85,Ulee's Gold (1997),Alien: Resurrection (1997),12 Angry Men (1957),GoldenEye (1995)
body parts (1991),1.6153846153846154,13,"Time to Kill, A (1996)",Father of the Bride Part II (1995),Mr. Holland's Opus (1995),My Best Friend's Wedding (1997)
"body snatcher, the (1945)",3.5,22,My Best Friend's Wedding (1997),Cold Comfort Farm (1995),Amistad (1997),Michael (1996)
body snatchers (1993),2.971014492753623,69,True Romance (1993),"Peacemaker, The (1997)","Hunchback of Notre Dame, The (1996)",Bound (1996)
bogus (1996),2.5454545454545454,22,Pink Floyd - The Wall (1982),"Sex, Lies, and Videotape (1989)","Magnificent Seven, The (1954)",In the Name of the Father (1993)
"bonheur, le (1965)",2.0,4,Ulee's Gold (1997),Beavis and Butt-head Do America (1996),Cold Comfort Farm (1995),Fly Away Home (1996)
bonnie and clyde (1967),3.819672131147541,122,GoodFellas (1990),True Romance (1993),Chinatown (1974),Multiplicity (1996)
boogie nights (1997),3.5873015873015874,189,"Clockwork Orange, A (1971)",Dead Man Walking (1995),What's Eating Gilbert Grape (1993),"People vs. Larry Flynt, The (1996)"
boomerang (1992),2.8125,32,Cinema Paradiso (1988),Donnie Brasco (1997),What's Eating Gilbert Grape (1993),Sense and Sensibility (1995)
"boot, das (1981)",4.203980099502488,201,Basic Instinct (1992),"Wrong Trousers, The (1993)",Alien: Resurrection (1997),What's Eating Gilbert Grape (1993)
